菊花,丝瓜,相宜,有祛风化痰、清热解毒、凉血止血的功效，能抗病毒和预防病毒感染 ，常食可清热养颜，洁肤除雀斑。
莲子,木瓜,相宜,莲子很适合高血压、冠心病患者食用，有养心安神、健脾止泻的功效。对产生虚弱、失眠、多梦也有一定疗效。木瓜能帮助消化及清理肠胃 ，还可以抗癌、防衰老和降血压。
芦荟,木耳,相宜,芦荟性寒味苦，有通便清热、杀虫等功效 ，可以作为药材，配木耳对糖尿病的治疗有很显著的疗效。
蜜枣,牛奶,相宜,做成粥有补虚、止渴、润大肠、养心肺、解热毒的功效。适宜于营养不良、病后体虚、气血不足、癌症等患者食用 。
蘑菇,生菜,相宜,生菜利尿、明目，防治口臭，增进食欲 ，通乳汁。蘑菇含有丰富的易于人体吸收的蛋白质并具有补脾益气、润燥化痰及较强的滋补功效，用于治疗热咳、痰多、胸闷、吐泻等症状。
南瓜,莲子,相宜,适宜于糖尿病、冠心病、高血压、高血脂等患者食用 ，也适宜肥胖、便秘者食用。
牛奶,苹果,相宜,清热解渴，生津除热 ，抗癌防癌。
牛肉,芹菜,相宜,牛肉补脾胃，滋补健身，营养价值高。芹菜清热利尿，有降压、降胆固醇的作用 ，还含有大量的粗纤维，两者相配既能保证正常的营养供给，又不会增加人的体重。
茄子,苦瓜,相宜,苦瓜有解除疲劳、清心明目、益气壮阳、延缓衰老的作用。茄子具有去痛活血、清热消肿、解痛利尿及防止血管破裂、平血压、止咳血等功效 ，是心血管病人的理想菜蔬。
山药,鸭肉,相宜,老鸭既可补充人体水分又可补阴，并可消热止咳。山药的补阴功能更强，与鸭肉伴食 ，可消除油腻，这可起到滋阴补肺的效果。
蒜苔,木耳,相宜,蒜苔对于脾胃虚弱、泻肚、毒疮、水肿等病症有辅助疗效。木耳有益气养胃润肺、凉血止血、降脂减肥等作用 。
菠菜,瘦肉,相克,菠菜含铜，瘦肉含锌。铜是制造红血球的重要物质之一 ，又为钙铁、脂肪代谢所必需。如果把它和含锌较高的食物混合食用，则该类食物析出的铜会大量减少。
海带,猪血,相克,同食会便秘。
鱼肉,西红柿,相克,食物中的维生素C会对铜的析放量产生抑制作用 。
白酒,牛肉,相克,同时食用容易上火。因为牛肉属于甘温，补气助火，而白酒则属于大温之品 ，与牛肉相配饿如火上浇油，容易引起牙齿发炎。
豆浆,鸡蛋,相克,鸡蛋中黏液性蛋白易和豆浆中的胰蛋白酶结合 ，产生一种不能被人体吸收的物质大大降低了人体对营养的吸收。
水果,萝卜,相克,同食容易患甲状腺肿 。
菠菜,大豆,相克,食物中的维生素C会对铜的析放量产生抑制作用
鹅肉,鸭梨,相克,伤肾脏。
牛奶,菜花,相克,牛奶含丰富的钙质 ，菜花所含的化学成份影响钙的消化吸收。
墨鱼,茄子,相克,同食容易引起霍乱 。
牛奶,韭菜,相克,"牛奶中含钙。钙是构成骨骼和牙齿的主要成份。牛奶与含草酸多的韭菜混合食用 ,就会影响钙的吸收。"
小白菜,兔肉,相克,同食容易引起腹泻和呕吐 。
鲫鱼,冬瓜,相克,同食会使身体脱水 。
田螺,蚕豆,相克,同食会肠绞痛 。
羊肉,竹笋,相克,同食会引起中毒 ，可以用地浆水治疗。
杏仁,猪肉,相克,同食会引起肚子痛 。
芹菜,鸡肉,相克,同食会伤元气 。
芹菜,鸡肉,相克,同食会脱水 。
牛肉,栗子,相克,栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值 ，而且不易消化。
韭菜,牛肉,相克,同食容易中毒 ，可以用人乳和鼓汁解毒。
南瓜,虾,相克,同食会引起痢疾 ，可以用黑豆、甘草解毒。
柿子,土豆,相克,吃了土豆，人的胃里会产生大量盐酸，如果再吃柿子 ，柿子在胃酸的作用下会产生沉淀，既难消化，又不易排出。
洋葱,蜂蜜,相克,同食会伤眼睛，引起眼睛不适 ，严重会失明。
土豆,香蕉,相克,同食面部会生斑 。
黑木耳,茶,相克,黑木耳中含有铁质。严重缺铁会引起贫血。黑木耳与含有单丁宁酸的茶同食 ，就会降低人体对铁的吸收。
梨,蟹,相克,同食会影响肠胃消化 。
李子,鸭蛋,相克,同食会引起中毒 ，可以用地浆水治疗。
猪肝,荞麦,相克,同食会影响消化 。
糯米,鸡肉,相克,同食会引起身体不适 。
鲶鱼,牛肉,相克,同食会引起中毒 ，可以用人乳和鼓汁治疗。
酸牛奶,香蕉,相克,同食易产生致癌物 。
芹菜,甲鱼,相克,同食会中毒 ，可以用橄榄汁解毒。
茶叶,鸡蛋,相克,茶叶中除生物碱外，还有酸性物质，这些化合物与鸡蛋中的铁元素结合 ，对胃有刺激作用，且不利于消化吸收。
牛奶,橘子,相克,牛奶进入胃和十二指肠后，其中的蛋白质与胃蛋白酶和胰蛋白酶结合，然后进入小肠进一步消化吸收。若此时吃橘子 ，会使牛奶中的蛋白质与果酸及维生素C凝固成块，影响其消化吸收，甚至导致腹胀、腹痛、腹泻等症状。
辣椒,南瓜,相克,南瓜含维生素C分解酶，能破坏辣椒中的维生素C ，降低辣椒的营养价值。
葱,豆腐,相克,豆腐中含钙，葱含有一定量的草酸，二者可结合成草酸钙沉淀 ，既影响钙的吸收，还会促进结石的形成。
大枣,黄瓜,相克,大枣富含维生素C，黄瓜中含有维生素C分解酶 ，可以破坏食物中的维生素C。因此，二者不宜同时食用。
猕猴桃,动物肝脏,相克,猕猴桃内富含维生素C，动物的肝脏富含铜、铁等离子 ，这些离子可使食物中的维生素C氧化，从而降低应有的营养价值。
柠檬,牛奶,相克,柠檬中含有丰富的果酸，牛奶中含有大量的蛋白质。若二者同时食用，果酸会使牛奶中的蛋白质凝固 ，即影响消化吸收，又不利于身体健康。
菠萝,鸡蛋,相克,鸡蛋中含有大量的蛋白质；菠萝中含有丰富的果酸。若二者同时食用，果酸可使蛋白质凝固 ，影响蛋白质的消化吸收，不利于健康。
柿子,红薯,相克,红薯含淀粉较多，进食后会使胃内产生大量胃酸，而柿子则含有较多的鞣质和果胶，胃酸和鞣质、果胶相遇，会发生凝聚作用 ，形成难溶性的硬块——胃柿石。胃柿石可引起胃肠道不适，大的胃柿石因难以排出，刺激胃肠会导致出血、胃炎或溃疡病，严重者可造成胃穿孔危及生命。
柿子,海带,相克,海带中含有钙离子；柿子中含有较多的鞣酸，二者相遇，海带中的钙离子可与柿子中的鞣酸结合 ，生成不溶性的结合物，影响营养成分的消化吸收，导致胃肠道不适。
苹果,萝卜,相克,苹果含有丰富的植物色素，若与萝卜一起食用，经胃、肠道的消化分解 ，可产生抑制甲状腺功能的物质，诱发甲状腺肿。
李子,青鱼,相克,青鱼肉含蛋白质、脂肪、碳水化合物、维生素B1，维生素B2、烟酸、钙、磷、铁等营养成分。其性味甘平，功能益气化湿，养胃醒脾。李子酸温多汁，助湿生热。由于二者功效相反，所以 ，食青鱼后，不宜多食李子。脾胃虚弱，消化不良，血热患者，更应忌食。
黄瓜,花生,相克,黄瓜性味甘寒，多生食；花生仁多油脂，若二者相遇 ，会增加其滑利之性，极容易导致腹泻。
螃蟹,柑橘,相克,柑橘有聚湿生痰的特性，而蟹性寒凉。若将二者同食，容易导致痰气滞、腹胀等症状。对气管炎患者来说 ，更应注意，以免加重病情。
螃蟹,花生,相克,花生仁性味甘平，而且脂肪含量高达45％；而蟹味咸性寒，微毒 ，为冷利之物。油腻之物遇冷利之物极易导致腹泻。所以，二者不宜同时进食，肠胃虚弱者更应注意。
鸡蛋,橘子,相克,鸡蛋含有丰富的蛋白质，若和含有丰富果酸的橘子等水果同时食用，果酸会使蛋白质凝固 ，影响蛋白质的消化和吸收，甚至产生不良症状。
鸡肉,鲤鱼,相克,鸡肉补中助阳，鲤鱼下气利水，性味不反 ，但功能相克。此外，鱼类皆含丰富蛋白质、微量元素、酶类，及各种生物活性物质。鸡肉成分亦极复杂，二者可发生一些不良的生化反应，不利于身体健康。
羊肉,南瓜,相克,羊肉为大热之品 ，具有补虚祛寒、温补气血、益肾补衰之功效。二者皆为补益之品，同时进食，可导致消化不良，腹胀肚痛。
