孜然羊肉,6～7两羊肉，生粉，料酒，白胡椒粉，孜然粉，盐，辣椒粉,1、羊肉切块，不能太小，拇指大小即可、2、放入生粉、料酒、白胡椒粉、孜然粉、盐腌20分钟（盐可以放足量，这样后面就不用放盐了）3、锅烧热，放油约2汤匙（油量看羊肉肥瘦程度而定，如果肥就少放点因为炒制的过程中会出很多油）4、放入羊肉翻炒两分钟，看到羊肉变色。5、加适量辣椒粉、孜然粒继续炒1分钟左右，出锅。
西红柿炒鸡蛋,西红柿2粒或3粒，鸡蛋3粒，小葱1根，白糖1汤匙，白胡椒粉少许，盐少许，味精少许,1、西红柿洗净后顶部划“十”字，浇上开水烫2分钟后去皮切片。2、鸡蛋打入碗中，加入少许白胡椒粉、盐和味精，打散备用。3、小葱洗净后切成葱花。4、炒锅内倒少许油烧至微热，倒入鸡蛋快速划散，凝固后盛出。5、炒锅内重新倒入少许油烧至7成热，倒入西红柿大火煸炒，然后加入白糖炒匀，再倒入鸡蛋一起翻炒，最后调入少许盐和味精，起锅前撒上葱花即可。
酸辣土豆丝,土豆切丝，干辣椒，蒜蓉，醋，盐,1、土豆丝放入凉水中浸泡，中间不断换水，将土豆中的淀粉泡掉。2、蒜蓉干辣椒炝锅，放入泡好的土豆丝翻炒，放盐。3、出锅前放入适量醋，迅速翻炒几下即可出锅。
红烧茄子,茄子，香菜，蒜瓣，酱油，糖，盐，水，油,1、茄子去皮，切成滚刀快。放如一大碗内，均匀的撒上一层盐，边撒边搅拌。然后放到一边备用。2、这时候，你可以剥蒜，洗香菜。将蒜瓣切成蒜绒放在碗里，到上一点酱油。加一点白糖和水，凑够一碗。香菜切末(要是你是熟练工的话，可以在ld的批准下看会子电视。因为茄子还要淹一会)大概30分钟后，使力气的活该开始了。3、抓起大碗里面的茄子，拼命的攥~~尽量把水攥干。攥的越干，烧出来的茄子越香。待油8分热的时候，将攥成球球的茄子下锅。炒到茄子变色倒入刚才按照秘方配置的汤料。烧开后关小火，记得还要翻翻。要不然茄子快一定是一边象包公，一边象曹操。等汤收的差不多了，关火到入香菜末，翻锅数下，装盘。
油焖大虾,海虾1斤，姜丝一小把（宜多不宜少），白糖2大匙，盐1小匙，番茄酱2大匙，橄榄油普通炒菜用量,1、去除虾线。沿虾背脊剪开一条口子，取出虾线。将去除虾线的虾用水洗净，并将水沥干。2、姜切丝，备用。3、热锅凉油，待油八成热放入姜丝煸炒，爆出香味后倒入大虾煸炒，虾变红后加入盐和糖继续煸炒，盖锅盖焖一下，然后倒入适量番茄酱翻炒均匀就可以出锅了
香辣虾,大虾400克、花椒粒40克、生姜50克、小尖椒10个、大葱一根、蒜七八瓣、白糖味精盐各少许，生抽适量、植物油适量。,1、大虾剔去泥肠等，洗净控干；2、大蒜、生姜切片，大葱切丝；3、锅内放适量植物油，烧热后放入小尖椒、花椒粒炒出香味；4、放入蒜片和姜片，翻炒出味；5、放入大虾，炒到变色；6、放适量生抽，颜色变红后加入白糖、盐、味精；7、出锅前放入葱丝，翻炒后即可。
凉拌黄瓜,蒜泥、黄瓜、生抽、醋、糖,1、将黄瓜反复洗涤干净，我这里用淘米水浸泡了15分钟。2、将黄瓜拍碎。3、准备调味汁、这里用的是蒜泥\生抽\醋少许，糖一点点，芝麻油略多点。大家也可以按自己的喜好添加其他的调味品进去、比如说：辣椒油\花椒油\芝麻酱等等。
凉拌茄子,长茄子2根，红辣椒1根，葱1根，蒜泥1大匙，美极鲜酱油2大匙，香油2大匙，醋1大匙,1、红辣椒洗净，去籽切丝；葱洗净切末；调味料拌匀待用。2、茄子洗净对半切开，入蒸锅蒸熟（大约7-8分钟），取出放凉后，用手撕成条状。3、将茄子、红辣椒丝、蒜泥、葱末与调味料一起拌匀至入味即可。
手撕包菜,卷心菜一颗、蒜几瓣、干辣椒１０－１５个、花椒10粒左右、陈醋、老抽、糖、盐、鸡精少许,1、包菜用手撕成小片，干辣椒剪成小段、蒜切片；2、锅中油热后，关小火，放入蒜片爆香，再放入花椒、干辣椒；3、炒出香味后，放入卷心菜，炒至稍稍变色，放入陈醋、老抽翻炒均匀；4、放少许糖提鲜，加少许盐、鸡精调味即可。
酸辣白菜,白菜350克，红尖椒10克，青尖椒10克，辣椒(红，尖，干)5克，大葱5克，姜3克，盐3克，味精2克，豌豆淀粉5克，白醋5克，香油5克,1、将干辣椒切块，葱切段，姜切成细丝；2、青、红辣椒去蒂、籽，切菱形片；3、将白菜去叶，留颈部，改成0、3厘米厚的抹刀片；3、锅内加少许底油烧热；4、依次放入葱花、姜丝、干辣椒、青红辣椒片；5、爆香后加入白醋，然后迅速将切好的白菜放入锅内；6、加入精盐和味精翻炒，勾芡，加少许香油，出锅即成。
松仁玉米,冷冻玉米粒300克 松仁100克 香葱1根 青椒或杭椒1根 红椒2根 盐1/2茶匙（3克）糖1/2茶匙（3克） 牛奶3汤匙（45ml）,1、将冷冻玉米粒从冰箱拿出，放在室温解冻（如特别急用，放冷水里解冻也可，但  口感略差）。用清水冲净后，沥干水分备用。将青红椒洗净，斜切成片，不要去籽。香葱切碎。2、锅中不要倒油，将松仁放入锅中，用小火慢慢将松仁焙香。待松仁变微黄色，表面泛油光时，盛出自然冷却。3、锅中倒入油大火加热至7成热时，放入香葱炒香，然后倒入玉米粒，青红椒片，加入盐和糖，翻炒约半分钟，倒入牛奶搅匀，待牛奶快收干汤汁时，放入松仁即可。
酸奶水果沙拉,优酪乳1杯，火龙果1个，苹果1个，香蕉1根，西瓜1块,1、将火龙果、苹果、香蕉、西瓜去皮后切成大小一致的小粒。2、将切好的苹果放入淡盐水中浸泡，可以防止氧化变黑。3、把火龙果、苹果、香蕉、西瓜粒放入碗里，在上面淋上优酪乳即可。
紫菜蛋花汤,紫菜1块，虾皮少许，鸡蛋1个，盐适量,1、紫菜撕成碎片；鸡蛋打在碗内搅匀成蛋液；虾皮去杂质洗净泥沙，用料酒浸泡。2、锅内放少量油，烧热后锅放入虾皮爆香，然后将碟备用。3、水烧开后放入紫菜与虾皮。4、煮沸后倒入鸡蛋液，加入适量盐调味即可。
玉米排骨汤,排骨2根、玉米2根、红萝卜1根、生蒜少许、盐适量、清水适量,1、准备好所需的食材。2、排骨放锅里过水，煮5分钟左右捞出备用。3、红萝卜去掉洗净切滚刀块、玉米洗净后切段备用。4、过水后的排骨放压力锅中，加入洗净切片的生姜，再倒入烧好的开水，盖上盖子，选择中途加菜和煲汤模式。5、大约30分钟左右压力锅提示加菜的声音，打开盖子，加入切好的玉米和红萝卜及适量盐，盖上盖子继续煮5分钟左右即可。
乌鸡汤,乌鸡半只，红枣30g，桂圆肉30g，枸杞15g，姜20g，盐适量,1、乌鸡洗净切块，和姜、红枣、桂圆肉一起放入锅中，大火煮开后改小火煮50分钟。2、再加入枸杞，继续炖30分钟。3、关火焖10分钟，加入少许食盐即可。
鲫鱼汤,鲫鱼1条，金针菇250g，枸杞子10粒，大葱适量，小葱适量，姜适量,1、鲫鱼去腮开膛收拾干净，在两侧鱼身都用刀划3个口子。2、下油锅煎至两面金黄色取出备用。3、把鱼放入砂锅或汤锅内，加入适量的水，最少要没过鱼身。加入料酒、盐、葱段、姜片。开大火加盖煮。4、等开锅加入枸杞子，换小火煮20分钟。5、20分钟后，再加入金针菇。6、5分钟后即可出锅，撒入小葱末装扮，美味完成。
炸酱汤,甜面酱，黄豆酱，猪肉馅250克，葱段，蒜末，料酒，豆芽丝，生抽，老抽，手擀面，黄瓜丝，青萝卜丝，豆腐丝，鸡蛋丝,1、把自己喜欢的材料都切丝，用热水冲一下，敝干水分备用。2、面条煮好后用冰水浸凉备用。3、把油烧热，倒入葱段，蒜末、八角、花椒炒香，然后把这些挑出来，锅里只剩下油，放入绞肉，料酒、糖、生抽和老抽，翻炒一下，把甜面酱和黄豆酱都放进去。4、加入一碗水、拌匀了就可以盖上锅盖小火慢熬，注意多搅动以防止粘锅，当油和酱分离就基本好了。喜欢辣口味的可以加入一匙的老干妈，味道更好，最后大火收一下加入青葱，就ok了。5、把材料都码好就可以开动了。
红烧牛肉面,牛肉500克，面条500克，小白菜250克，水10杯，葱4根，姜2片，大蒜8粒，八角4粒，辣椒1根，酱油1杯，水6杯，酒1汤匙，辣豆瓣酱1大匙，麻油少许,1、牛肉洗净切块，氽烫去血水。2、起油锅，炒香葱、姜、葱段、八角、辣椒、牛肉，加入酱油1杯、水6杯、酒1汤匙、辣豆瓣酱1大匙，用中火煮约1小时。3、水烧开，煮熟面条捞出，再烫熟小白菜。4、碗中放入麻油少许、葱花、牛肉汤，加入面条、青菜、牛肉即可。
皮蛋瘦肉粥,大米150克，猪肉100克或牛里脊，皮蛋2个，姜1小块，香葱1根，香油1/2茶匙3ml，盐1茶匙5克，清水2升,1、将大米淘洗干净，放入水，倒入香油搅匀后放置一旁，浸泡30分钟。姜去皮切成细丝，香葱切碎。皮蛋切成小块。2、把肉先切成片，再切丝，最后切成小颗粒。放入碗中，加入1/4茶匙（1克）盐，搅匀后腌制20分钟。3、锅中倒入清水，大火煮开后，将肉粒倒入煮一会儿，当水面有浮沫时，用勺子彻底撇干净，然后倒入一半的皮蛋块，再倒入姜丝，煮约2分钟后，倒入浸泡后的米，改成小火煮40分钟，期间每隔5分钟用勺子沿同一方向搅拌一次，以免皮蛋黏锅底。4、最后，将剩下的一半皮蛋倒入，继续煮10分钟即可，喝前调入剩余的盐和香葱碎。
八宝粥,红豆50克，净化水300毫升，花生仁20克，干莲子15克，干红枣50克，无核红葡萄干50克，糯米180克，黑米50克，松子仁15克，净化水2200毫升，冰糖100克,1、将红豆及花生洗净，用水泡 2小时，倒掉水，然后放小锅里，加300毫升水浸盖，中火煮30分钟，关火。保留煮豆汤。莲子用水泡2小时，捞出。把莲芯去掉。红枣洗净，去核。葡萄干洗净。2、糯米及黑米淘净，泡2小时，沥出。3、取一个大汤锅，放入红豆，花生及煮豆汤，莲子，红枣，葡萄干，糯米，黑米，松子仁，2000毫升水，用大火煮开。横放两根筷子在锅上，将锅盖放在筷子上，把火调至中偏小，煮1小时20分钟，其间，用勺偶尔搅一下，以免粘锅。加冰糖，稍搅，小火煮30分钟即好。
南瓜饼,南瓜一个，约一斤半，糯米粉一斤，白糖适量,1、先将南瓜打皮去穰。2、将南瓜切成小块，上锅蒸熟或者用微波炉打熟。3、将熟了的南瓜叉碎，凉透。4、将糯米粉和白糖撒进南瓜泥里搅匀，以发硬为佳。5、取一团南瓜面用手心团匀按压成饼。6、电饼铛打开倒油，油温放南瓜饼，慢慢煎，一面发黄后翻过来煎，盖锅三四分钟即可。
葱油饼,面粉2又1/2杯，滚水3/4杯，蛋1个，葱末6大匙，葱末1大匙，麻油1大匙，猪油1/2大匙，盐1小匙,1、将滚水沖入面粉中用筷子略为搅拌，再加入蛋拌匀。揉成面团，放着醒20分钟。2、将醒好的面团分成6块，每块压扁，再用桿面桿成圆薄片，撒上1大匙的葱，少许麻油、猪油和盐。接着由两边向内对折，用手压扁。然后用桿面棍桿成厚约0、5公分的圆饼皮。3、用平底锅，放一大匙油，然后将饼皮放入慢慢煎熟即可
双皮奶,一大碗蒙牛牛奶（400ml左右），蛋清二只，白砂糖二勺（或者不放糖放炼乳，这样会更香纯）?。喜欢的话还可以加入莲子、红豆一起蒸，更是营养丰富，美容佳品哦。,1、先把牛奶倒到锅中刚煮开即可（烧久了会破坏蛋白质，也结不起奶皮了），然后再倒入大碗，这时可以看到牛奶表面结起一层皱皱的奶皮。2、拿一个空的大碗中放入二只蛋清（蛋清蛋黄分离的方法想必大家都会的，就不多说了）、二勺糖，搅匀至糖溶解（不要打太久，否则变蛋泡了)。3、等牛奶稍凉后，用筷子把奶皮刺破，再将牛奶慢慢倒入装有蛋清的大碗，搅拌均匀，再沿碗边缓缓倒回留有奶皮的大碗，可以看到奶皮会自己浮起来。4、最后将牛奶放入锅中隔水蒸十分钟左右，用筷子从中间刺入，没有牛奶流出说明全部凝结起来了，大功告成啦。
冰淇淋,香草冰激凌900ml，杏仁饼干手指饼干6块，杏仁酒2tbs，蜂蜜1tbs，巧克力175g，胡桃仁90g，牛油45g,1、冰激凌放冷藏室软化，胡桃仁切碎。2、饼干蘸适量酒。3、用大号冰激凌勺舀一团冰激凌，中心插入一块饼干。4、将冰激凌整理成球形，放入冰箱冻硬。5、巧克力、牛油、蜂蜜隔水加热至溶化。6、取一个冰激凌球，用刀子摆在巧克力碗上面。7、将溶化的巧克力淋在冰激凌球上，使其覆盖一层巧克力。8、迅速拍上切碎的胡桃仁，放入冰箱冻硬。
杨枝甘露,西米约50克，金煌芒果2个，西柚1个，木瓜1个（最好是台湾木瓜，因为特别的好吃呢），高达椰浆1罐（用椰子汁也可），三花淡奶1罐，冰糖少许（砂糖也可）,1、西米放进煮开的水里，大火煮1分钟后加盖闷至透明（约25分钟，这样比一直煮省火），用过滤筛子盛着用凉水冲净，沥干后备用，提示：如果这时候西米还没透明，到第4步还可以再煮。2、芒果一个把肉肉挖起来，用搅拌机打成浆，提示：要切小块，搅拌器才好打哦。另一个起肉切成1cm见方状，备用。3、西柚最好买进口红肉的，颜色好看而且香味浓郁；将肉剥出后轻轻揉散，备用。4、将冰糖放进水里煮溶（水量约与西米为1：1），倒进西米煮开约2分钟（如果第1步中西米还没透明，这里就多煮一会），整锅放进冷水里浸着，以加速降温。5、当西米降到40度以下时，先加入三花淡奶，份量以汤色泛起牛奶色为准；再加入椰浆，份量以闻到椰香而定。6、然后加入芒果汁，搅匀、试味；如果觉得不够甜的话，可加入幼砂糖调和一下。7、最后加入西柚肉粒和芒果肉粒，置入雪柜冷冻即可食用。
芒果布丁,芒果，牛奶，吉利丁粉,1、芒果果肉约250克切块，用搅拌机打成浆状。2、牛奶150克加入芒果浆中成芒果液，然后过筛，这样做出来的布丁很细滑。3、再用150克牛奶放入小锅中，加入10克吉利丁粉，慢慢搅拌，后放入火上慢慢加热，50度左右后关火，一直慢慢搅拌直到吉利丁粉全部溶化。4、把加有吉利丁粉的牛奶慢慢倒入芒果液中，搅拌均匀。5、把布丁液倒入杯子中，将杯子在桌上轻轻磕一下，震出气泡，大气泡用牙签挑破，小气泡用厨房纸轻轻擦轼掉。 盖上保鲜膜，然后放冰箱中冷藏三个小时以上即可食用。
芝士蛋糕,全麦粉饼干100克，无盐黄油45克，粉状明胶10克，奶油奶酪200克，精制砂糖80克，蛋黄1个，酸奶100克，柠檬汁2大匙，鲜奶油200毫升，直径18厘米圆模型一个,1、使奶酪在室温下变软。2、在耐热容器中放入6大匙水，筛入明胶浸泡。3、在耐热容器中放入黄油，用微波炉加热30秒，使其熔化。4、在塑料袋中放入饼干用擀面杖碾碎，移到容器中。5、加入熔化的黄油，用小铲子搅拌均匀。6、填满模型底部，放入冰箱冷冻。7、在浸好明胶的容器上盖上保鲜膜，微波加热30秒。8、在容器中放入奶酪，用打泡器搅拌至白色膏状，加入砂糖，充分搅拌。9、按顺序依次加入蛋黄、酸奶、柠檬汁，搅拌均匀。10、将鲜奶油放入一个容器，用打泡器打到6分程度（用打泡器舀时奶油粘乎乎的往下掉的程度）。11、将其一点一点地加入奶油乳酪中，用小铲子缓缓混合。12、加入熔好的明胶用小铲搅拌至粘稠状态。13、从冰箱中取出模型，倒入原料，在放入冰箱冷冻一个小时以上至成型。
曲奇饼干,无盐黄油130克，糖60克，蛋50克，低粉200克,1、无盐黄油130克室温软化，用打蛋器打到呈羽毛状时加入60克糖粉打到糖溶化后加入一个蛋（约50克）打匀。2、筛入200克低粉后转橡皮刀轻轻拌匀。3、可用挤花嘴或用手压整成你喜欢的形状。
芝士焗饭,青椒，洋葱，大葱，肉丝，米饭，鸡蛋，Mozzarella奶酪（马苏里拉），黑胡椒，橄榄油,1、锅中加橄榄油7成热后加肉丝炒散，再加青椒、洋葱、大葱、生抽炒熟备用。2、将鸡蛋打散，和米饭均匀的搅拌在一起。3、锅中放橄榄油，将米饭炒香后加入炒好的肉丝，加黑胡椒、生抽拌匀。4、将芝士切成丝，均匀的撒在米饭上。5、烤箱180度，上下火10分钟，将Mozzarella烤成金黄色。
酱油炒饭,白饭2碗，蒜瓣3片，葱花适量，酒1大匙，酱油2大匙，糖1大匙，盐1小匙，油2大匙,1、蒜瓣剁成碎末。2、锅中倒入油，用小火将蒜末爆香。3、将酱油、酒、糖、盐先混合搅拌均匀后，再倒入锅中翻炒。4、把火开大，倒入白饭。5、翻炒均匀后加入葱花再翻炒片刻即可装盘。
蛋炒饭,米饭1碗，鸡蛋2个，葱花，蔬菜丁少许（胡萝卜丁，黄瓜丁）,1、鸡蛋2个打散，一个方向搅拌均匀；2、热油放打好的鸡蛋，放葱花，用锅铲迅速打散；3、放米饭炒，再放剩下的黄瓜丁、胡萝卜丁什么的，想放什么就放什么。
蛋包饭,火腿、鸡蛋(一个蛋饼要2个鸡蛋，)、洋葱、香葱、西红柿、玉米、青豆、淀粉、冷米饭、李锦记豉油鸡汁、盐、料酒、胡椒粉、番茄沙司,1、洋葱、火腿肠切丁备用；2、热锅入油，油温后下洋葱煸出香味，再下培火腿丁、玉米、青豆煸炒；3、下米饭炒散后加李锦记豉油鸡汁、盐、胡椒粉调味， 炒匀备用；4、鸡蛋打散后加少许干淀粉、盐打匀，滴入几滴料酒和植物油打匀；5、平底锅烧热后调小火，到入蛋液，转动平底锅，把蛋液摊成薄薄的蛋皮；6、在蛋皮中央上铺上炒好的米饭，四边迭起，小心翻面至鸡蛋全熟；7、将蛋包饭盛入盘中，用小刀在蛋皮表面划个十字，翻开蛋皮，淋上番茄沙司即可。
